city,city_ershoufang_chengjiao,city_ershoufang_chengjiao_href,city_ershoufang_xiaoqu,city_ershoufang_xiaoqu_href,city_ershoufang_zaishou,city_ershoufang_zaishou_href,crawl_time,province
桂林,,,,, 7789 ,https://gl.lianjia.com/ershoufang/,2019-08-28 16:18:50.711899,广西
安庆,,,,, 10452 ,https://aq.lianjia.com/ershoufang/,2019-08-28 16:18:50.689932,安徽
防城港,,,,, 2313 ,https://fcg.lianjia.com/ershoufang/,2019-08-28 16:18:50.710902,广西
天津,,,,, 95819 ,https://tj.lianjia.com/ershoufang/,2019-08-28 16:18:50.839869,天津
太原,,,,, 10779 ,https://ty.lianjia.com/ershoufang/,2019-08-28 16:18:50.838869,山西
大理,,,,, 2134 ,https://dali.lianjia.com/ershoufang/,2019-08-28 16:18:50.839869,云南
江门, 252 ,https://jiangmen.lianjia.com/chengjiao/,,, 5534 ,https://jiangmen.lianjia.com/ershoufang/,2019-08-28 16:18:50.708903,广东
黄石, 590 ,https://huangshi.lianjia.com/chengjiao/,,, 5277 ,https://huangshi.lianjia.com/ershoufang/,2019-08-28 16:18:50.712900,湖北
中山, 2643 ,https://zs.lianjia.com/chengjiao/,,, 25690 ,https://zs.lianjia.com/ershoufang/,2019-08-28 16:18:50.709900,广东
清远, 340 ,https://qy.lianjia.com/chengjiao/,,, 5886 ,https://qy.lianjia.com/ershoufang/,2019-08-28 16:18:50.708903,广东
绍兴, 487 ,https://sx.lianjia.com/chengjiao/,,, 7086 ,https://sx.lianjia.com/ershoufang/,2019-08-28 16:18:50.841868,浙江
西安, 13137 ,https://xa.lianjia.com/chengjiao/,,, 37197 ,https://xa.lianjia.com/ershoufang/,2019-08-28 16:18:50.837872,陕西
嘉兴, 1138 ,https://jx.lianjia.com/chengjiao/,,, 17168 ,https://jx.lianjia.com/ershoufang/,2019-08-28 16:18:50.841868,浙江
南宁, 354 ,https://nn.lianjia.com/chengjiao/, 1633 ,https://nn.lianjia.com/xiaoqu/?from=rec, 8572 ,https://nn.lianjia.com/ershoufang/,2019-08-28 16:18:50.711899,广西
北海, 1229 ,https://bh.lianjia.com/chengjiao/, 1148 ,https://bh.lianjia.com/xiaoqu/?from=rec, 15740 ,https://bh.lianjia.com/ershoufang/,2019-08-28 16:18:50.710902,广西
深圳, 86213 ,https://sz.lianjia.com/chengjiao/, 6626 ,https://sz.lianjia.com/xiaoqu/?from=rec, 47688 ,https://sz.lianjia.com/ershoufang/,2019-08-28 16:18:50.708903,广东
